id,x,y,label
234,0.991,0.676,normal
235,0.909,1.396,normal
236,0.436,0.494,normal
237,1.045,1.363,normal
238,1.347,1.068,normal
239,0.966,0.836,normal
240,0.625,0.68,normal
241,0.902,1.419,normal
242,0.823,1.209,normal
243,1.298,0.775,normal
244,0.737,0.762,normal
245,1.005,0.929,normal
246,0.696,0.652,normal
247,1.401,0.899,normal
248,0.734,1.216,normal
249,0.779,1.667,normal
250,0.823,1.682,normal
251,1.145,0.652,normal
252,1.062,0.959,normal
253,0.809,0.582,normal
254,0.505,0.885,normal
255,1.554,0.398,normal
256,0.565,0.964,normal
257,0.971,1.124,normal
258,0.816,1.312,normal
259,0.304,1.222,normal
260,0.885,0.839,normal
261,1.038,1.497,normal
262,1.153,0.975,normal
263,1.38,0.928,normal
264,1.089,1.125,normal
265,1.246,1.003,normal
266,0.04,0.702,normal
267,0.483,0.636,normal
268,1.028,1.179,normal
269,1.527,0.912,normal
270,1.153,0.614,normal
271,0.738,1.009,normal
272,1.08,0.977,normal
273,0.684,0.819,normal
274,0.546,1.365,normal
275,0.887,0.834,normal
276,0.445,0.659,normal
277,1.54,0.836,normal
278,1.26,1.378,normal
279,0.852,0.774,normal
280,0.898,0.529,normal
281,0.873,1.465,normal
282,1.333,0.425,normal
283,1.227,0.572,normal
284,0.319,1.106,normal
285,0.827,0.721,normal
286,1.512,1.239,normal
287,1.174,0.944,normal
288,0.868,0.792,normal
289,1.179,1.247,normal
290,0.971,1.257,normal
291,0.947,0.79,normal
292,0.726,1.574,normal
293,1.158,0.596,normal
294,0.8,0.811,normal
295,1.281,0.862,normal
296,0.866,1.347,normal
297,0.648,1.047,normal
298,1.019,1.482,normal
299,1.049,0.724,normal
300,0.655,0.807,normal
301,0.881,0.898,normal
302,1.235,1.028,normal
303,0.959,1.557,normal
304,0.881,0.773,normal
305,0.854,0.934,normal
306,1.035,1.173,normal
307,1.346,1.151,normal
308,1.829,1.359,normal
309,0.901,0.919,normal
310,0.987,1.328,normal
311,0.907,0.947,normal
312,0.963,1.169,normal
313,0.803,1.039,normal
314,1.454,0.801,normal
315,1.311,1.304,normal
316,0.621,1.149,normal
317,0.971,1.189,normal
318,0.961,1.318,normal
319,1.157,0.959,normal
320,0.979,2.005,normal
321,1.513,0.925,normal
322,0.185,1.195,normal
323,1.114,1.007,normal
324,0.435,1.102,normal
325,0.979,0.801,normal
326,0.842,1.541,normal
327,1.006,0.906,normal
328,1.366,1.035,normal
329,1.443,0.688,normal
330,1.339,0.949,normal
331,0.738,0.902,normal
332,0.653,0.825,normal
333,0.533,1.002,normal
334,1.401,0.398,normal
335,0.922,1.203,normal
336,0.906,1.206,normal
337,0.801,0.926,normal
338,1.041,1.107,normal
339,0.629,0.585,normal
340,1.027,0.813,normal
341,0.996,1.231,normal
342,0.7,1.15,normal
343,0.7,1.383,normal
344,1.471,0.913,normal
345,0.762,1.379,normal
346,0.638,1.012,normal
347,0.7,0.993,normal
348,0.218,1.199,normal
349,1.048,0.905,normal
350,1.158,0.969,normal
351,0.987,1.484,normal
352,1.35,0.963,normal
353,1.145,1.188,normal
354,0.93,0.429,normal
355,0.868,0.974,normal
356,0.847,0.937,normal
357,1.001,1.246,normal
358,1.286,0.869,normal
359,0.86,0.962,normal
360,1.046,1.015,normal
361,1.007,0.803,normal
362,0.919,0.838,normal
363,0.947,0.644,normal
364,1.032,0.947,normal
365,1.055,1.076,normal
366,0.671,1.222,normal
367,1.078,0.897,normal
368,0.34,0.896,normal
369,1.021,1.196,normal
370,0.731,0.974,normal
371,1.068,0.651,normal
372,0.772,1.247,normal
373,0.808,1.423,normal
374,1.284,0.976,normal
375,0.761,0.48,normal
376,0.783,0.846,normal
377,1.039,1.106,normal
378,0.294,0.642,normal
379,1.017,1.247,normal
380,1.075,0.819,normal
381,0.921,0.711,normal
382,0.936,0.49,normal
383,0.893,0.925,normal
384,1.454,1.239,normal
385,0.98,0.915,normal
386,1.148,0.834,normal
387,0.975,1.158,normal
388,1.399,1.084,normal
389,0.734,0.454,normal
390,0.161,1.004,normal
391,1.082,1.235,normal
392,1.074,1.305,normal
393,1.155,1.135,normal
394,1.31,1.044,normal
395,1.15,0.722,normal
396,1.338,1.344,normal
397,1.185,1.315,normal
398,0.562,1.473,normal
399,0.794,1.216,normal
400,0.685,0.881,normal
401,1.49,0.475,normal
402,1.327,0.727,normal
403,1.356,1.23,normal
404,1.478,0.233,normal
405,1.586,1.204,normal
406,0.854,1.138,normal
407,1.151,1.534,normal
408,1.396,0.963,normal
409,1.053,0.903,normal
410,1.258,1.096,normal
411,0.917,0.279,normal
412,0.625,0.643,normal
413,1.435,0.982,normal
414,1.029,0.906,normal
415,0.892,1.488,normal
416,1.142,1.495,normal
417,0.619,1.232,normal
418,0.764,1.163,normal
419,0.737,0.998,normal
420,1.032,1.578,normal
421,0.701,0.877,normal
422,0.983,0.507,normal
423,0.729,1.253,normal
424,0.85,1.043,normal
425,0.556,1.292,normal
426,0.674,1.163,normal
427,1.33,0.699,normal
428,0.831,1.425,normal
429,1.055,1.439,normal
430,1.146,1.452,normal
431,1.32,1.395,normal
432,0.944,1.284,normal
433,1.041,1.176,normal
434,1.466,0.924,normal
435,1.143,1.448,normal
436,0.974,1.35,normal
437,0.628,0.749,normal
438,1.0,0.828,normal
439,0.968,0.553,normal
440,0.341,1.305,normal
441,0.872,0.875,normal
442,1.111,0.995,normal
443,1.24,0.938,normal
444,0.751,0.662,normal
445,0.973,1.382,normal
446,0.655,0.569,normal
447,0.48,1.054,normal
448,1.167,1.601,normal
449,1.421,0.946,normal
450,0.828,1.23,normal
451,1.179,0.476,normal
452,1.18,1.174,normal
453,1.18,1.647,normal
454,1.333,0.981,normal
455,0.82,1.421,normal
456,0.559,0.728,normal
457,1.037,0.834,normal
458,1.301,1.402,normal
459,0.669,0.745,normal
460,0.78,1.15,normal
461,0.955,1.086,normal
462,1.058,1.565,normal
463,1.384,1.371,normal
464,0.853,1.039,normal
465,0.954,0.923,normal
466,0.995,1.074,normal
467,1.015,0.668,normal
468,0.72,1.275,normal
469,1.383,1.143,normal
470,0.53,0.764,normal
471,0.858,1.074,normal
472,1.201,0.928,normal
473,1.099,1.178,normal
474,0.914,0.707,normal
475,0.71,0.798,normal
476,1.369,0.739,normal
477,0.885,1.517,normal
478,1.449,0.613,normal
479,0.981,0.897,normal
480,0.737,1.318,normal
481,0.494,0.705,normal
482,1.076,1.235,normal
483,0.885,1.784,normal
484,0.897,0.331,normal
485,0.681,1.007,normal
486,1.269,0.91,normal
487,0.887,1.093,normal
488,0.812,0.599,normal
489,0.809,0.997,normal
490,1.073,0.71,normal
491,1.093,1.533,normal
492,1.12,1.376,normal
493,1.339,0.695,normal
494,0.994,0.725,normal
495,1.55,1.147,normal
496,0.965,0.861,normal
497,0.916,0.596,normal
498,0.99,1.18,normal
499,1.144,1.239,normal
500,0.525,0.964,normal
501,1.045,1.451,normal
502,1.079,1.438,normal
503,0.512,1.151,normal
504,1.154,1.141,normal
505,0.986,1.442,normal
506,0.776,1.194,normal
507,0.162,0.921,normal
508,1.218,0.56,normal
509,0.942,1.098,normal
510,1.169,1.398,normal
511,1.403,1.179,normal
512,0.473,0.879,normal
513,0.975,1.082,normal
514,1.056,0.76,normal
515,1.165,0.842,normal
516,1.089,1.161,normal
517,0.967,0.857,normal
518,1.442,0.923,normal
519,1.182,0.941,normal
520,1.238,0.747,normal
521,1.173,1.127,normal
522,1.488,1.106,normal
523,1.504,0.864,normal
524,1.003,1.195,normal
525,0.915,1.167,normal
526,0.292,1.231,normal
527,0.973,0.885,normal
528,1.101,1.299,normal
529,1.573,1.381,normal
530,0.798,0.951,normal
531,1.211,0.694,normal
532,0.801,0.999,normal
533,0.784,1.096,normal
534,0.682,0.935,normal
535,1.041,1.214,normal
536,0.627,0.57,normal
537,0.766,0.983,normal
538,0.78,1.594,normal
539,1.065,1.018,normal
540,1.357,0.738,normal
541,1.236,1.469,normal
542,0.614,1.016,normal
543,0.644,1.306,normal
544,0.732,0.588,normal
545,0.952,1.057,normal
546,1.148,0.785,normal
547,0.841,0.845,normal
548,0.808,0.958,normal
549,1.235,0.669,normal
550,1.177,0.68,normal
551,1.328,0.5,normal
552,1.028,0.724,normal
553,1.063,1.477,normal
554,0.616,0.38,normal
555,1.514,0.674,normal
556,0.519,0.977,normal
557,0.885,0.725,normal
558,0.886,0.783,normal
559,1.038,1.543,normal
560,0.822,0.33,normal
561,0.378,1.593,normal
562,1.171,0.842,normal
563,1.325,1.119,normal
564,1.445,0.875,normal
565,0.503,0.669,normal
566,0.688,0.526,normal
567,1.302,0.96,normal
568,0.812,1.149,normal
569,0.986,0.826,normal
570,1.014,0.992,normal
571,1.264,1.304,normal
572,1.276,0.698,normal
573,0.795,0.443,normal
574,0.682,1.135,normal
575,0.623,1.274,normal
576,1.084,0.89,normal
577,0.4,1.554,normal
578,0.901,0.841,normal
579,1.372,0.756,normal
580,0.867,1.124,normal
581,1.442,0.901,normal
582,0.785,1.059,normal
583,0.857,1.245,normal
584,1.373,0.651,normal
585,1.548,0.904,normal
586,0.836,0.96,normal
587,0.836,1.08,normal
588,0.964,0.67,normal
589,1.388,1.156,normal
590,1.375,1.326,normal
591,1.111,0.793,normal
592,0.751,0.76,normal
593,1.011,0.626,normal
594,0.61,0.947,normal
595,0.525,1.047,normal
596,1.094,1.077,normal
597,1.088,0.989,normal
598,1.1,1.404,normal
599,1.016,1.403,normal
600,1.17,1.504,normal
601,0.752,1.076,normal
602,1.29,1.374,normal
603,1.083,1.081,normal
604,1.225,1.078,normal
605,0.707,1.193,normal
606,0.513,0.908,normal
607,1.119,1.568,normal
608,1.045,1.122,normal
609,1.317,0.598,normal
610,0.76,0.577,normal
611,1.429,1.084,normal
612,0.795,1.013,normal
613,1.449,1.325,normal
614,0.907,1.072,normal
615,1.133,0.558,normal
616,1.45,1.196,normal
617,0.62,0.763,normal
618,0.86,1.523,normal
619,1.189,0.81,normal
620,1.129,1.152,normal
621,0.681,1.569,normal
622,0.748,1.254,normal
623,0.609,0.712,normal
624,0.808,0.719,normal
625,0.617,0.566,normal
626,0.787,1.007,normal
627,1.184,1.529,normal
628,0.291,0.6,normal
629,0.998,1.074,normal
630,0.807,1.115,normal
631,0.956,1.099,normal
632,1.021,1.281,normal
633,1.011,1.475,normal
634,0.7,1.038,normal
635,1.021,0.595,normal
636,1.135,1.025,normal
637,1.256,0.002,normal
638,1.043,1.176,normal
639,0.582,0.914,normal
640,1.282,1.129,normal
641,1.055,0.811,normal
642,1.425,0.547,normal
643,0.769,1.144,normal
644,0.966,1.111,normal
645,1.587,1.106,normal
646,1.344,0.1,normal
647,0.881,1.36,normal
648,1.036,1.357,normal
649,0.376,0.823,normal
650,0.855,1.329,normal
651,0.791,1.191,normal
652,1.188,0.549,normal
653,0.751,1.309,normal
654,0.818,1.28,normal
655,1.366,1.392,normal
656,0.612,0.585,normal
657,1.136,1.148,normal
658,0.959,1.159,normal
659,0.737,0.814,normal
660,0.889,1.26,normal
661,0.761,1.018,normal
662,0.982,0.575,normal
663,1.23,1.61,normal
664,0.838,1.286,normal
665,0.892,0.762,normal
666,0.626,0.339,normal
667,1.098,1.204,normal
668,0.816,1.15,normal
669,0.845,0.536,normal
670,1.262,0.966,normal
671,1.149,0.955,normal
672,0.696,0.386,normal
673,0.271,1.0,normal
674,1.327,1.043,normal
675,1.064,0.996,normal
676,0.959,1.528,normal
677,1.277,1.014,normal
678,0.763,1.398,normal
679,0.816,0.995,normal
680,0.652,0.716,normal
681,1.419,0.628,normal
682,1.108,0.743,normal
683,1.59,0.756,normal
684,1.271,1.04,normal
685,1.576,0.84,normal
686,0.726,1.24,normal
687,1.178,0.595,normal
688,1.048,0.245,normal
689,1.268,0.867,normal
690,0.382,0.784,normal
691,0.847,0.994,normal
692,0.857,0.94,normal
693,0.661,1.281,normal
694,1.23,1.132,normal
695,1.162,0.985,normal
696,0.729,1.561,normal
697,1.353,1.08,normal
698,0.626,0.4,normal
699,1.185,1.335,normal
700,0.87,1.396,normal
701,1.304,1.43,normal
702,0.576,1.139,normal
703,0.647,0.576,normal
704,1.12,0.831,normal
705,0.791,1.498,normal
706,0.935,0.944,normal
707,1.11,0.872,normal
708,1.323,1.028,normal
709,1.203,1.006,normal
710,1.219,0.542,normal
711,1.404,0.796,normal
712,0.624,0.774,normal
713,0.721,0.761,normal
714,0.797,1.065,normal
715,1.036,0.832,normal
716,0.827,1.113,normal
717,1.179,0.833,normal
718,1.411,0.461,normal
719,0.777,0.577,normal
720,0.642,0.778,normal
721,0.84,0.592,normal
722,1.239,1.65,normal
723,1.432,0.517,normal
724,1.161,0.98,normal
725,0.926,1.304,normal
726,1.311,1.084,normal
727,0.384,0.624,normal
728,0.648,1.303,normal
729,1.403,1.142,normal
730,1.344,1.329,normal
731,0.517,0.928,normal
732,0.538,1.293,normal
733,1.21,1.348,normal
734,1.139,0.874,normal
735,0.841,1.455,normal
736,0.879,1.068,normal
737,1.248,1.632,normal
738,0.396,0.851,normal
739,1.57,1.393,normal
740,1.178,0.247,normal
741,1.008,0.767,normal
742,0.784,0.871,normal
743,1.472,1.046,normal
744,0.939,0.56,normal
745,1.724,0.663,normal
746,0.579,1.083,normal
747,1.405,1.2,normal
748,0.875,1.097,normal
749,0.766,1.199,normal
750,0.478,0.748,normal
751,0.74,1.175,normal
752,1.543,1.075,normal
753,1.278,1.395,normal
754,0.925,0.642,normal
755,0.763,0.819,normal
756,1.443,1.136,normal
757,1.229,0.41,normal
758,0.68,1.748,normal
759,1.407,1.095,normal
760,0.591,0.833,normal
761,0.601,1.003,normal
762,0.093,0.756,normal
763,0.613,1.395,normal
764,1.251,0.904,normal
765,0.58,0.55,normal
766,1.282,1.348,normal
767,0.94,1.278,normal
768,0.407,1.006,normal
769,0.849,0.995,normal
770,0.371,0.896,normal
771,1.011,1.05,normal
772,1.246,1.002,normal
773,1.324,0.744,normal
774,0.749,0.878,normal
775,1.146,0.994,normal
776,1.264,1.141,normal
777,1.198,0.965,normal
778,0.906,1.285,normal
779,1.309,1.204,normal
780,0.973,1.282,normal
781,0.965,0.704,normal
782,0.94,0.805,normal
783,0.803,0.984,normal
784,0.556,1.049,normal
785,1.491,1.178,normal
786,0.912,0.853,normal
787,0.759,0.634,normal
788,1.501,1.342,normal
789,0.521,1.381,normal
790,1.097,0.875,normal
791,0.748,0.798,normal
792,1.445,1.062,normal
793,1.036,0.794,normal
794,1.219,0.887,normal
795,0.988,0.692,normal
796,0.357,0.804,normal
797,0.586,1.117,normal
798,1.373,1.23,normal
799,1.555,0.813,normal
800,1.589,0.707,normal
801,0.788,0.266,normal
802,1.117,0.821,normal
803,0.96,0.925,normal
804,0.986,0.975,normal
805,1.336,1.865,normal
806,0.907,1.137,normal
807,1.052,1.295,normal
808,1.283,0.867,normal
809,0.426,0.675,normal
810,1.096,1.064,normal
811,0.902,0.734,normal
812,0.691,1.629,normal
813,1.247,1.306,normal
814,1.134,1.459,normal
815,1.203,1.167,normal
816,0.727,1.296,normal
817,1.254,1.417,normal
818,0.758,0.995,normal
819,1.233,1.023,normal
820,1.384,0.242,normal
821,0.726,0.865,normal
822,1.008,1.09,normal
823,0.797,1.395,normal
824,1.435,1.019,normal
825,1.37,0.666,normal
826,1.161,1.147,normal
827,0.705,1.039,normal
828,1.097,0.963,normal
829,1.011,1.332,normal
830,0.924,1.036,normal
831,0.875,1.031,normal
832,0.22,0.491,normal
833,0.932,1.302,normal
834,0.429,1.264,normal
835,0.972,1.102,normal
836,0.851,0.785,normal
837,0.519,0.472,normal
838,0.97,0.409,normal
839,0.759,0.992,normal
840,0.591,0.719,normal
841,0.977,0.884,normal
842,0.913,0.776,normal
843,0.96,0.825,normal
844,0.954,0.622,normal
845,0.911,1.223,normal
846,0.822,1.015,normal
847,1.39,0.459,normal
848,0.842,1.403,normal
849,1.029,1.128,normal
850,0.729,0.837,normal
851,0.865,1.101,normal
852,0.347,0.963,normal
853,1.155,0.961,normal
854,0.337,0.822,normal
855,0.98,0.706,normal
856,0.723,0.914,normal
857,0.843,1.117,normal
858,0.622,0.892,normal
859,1.127,1.211,normal
860,0.965,1.151,normal
861,1.452,1.254,normal
862,0.974,0.773,normal
863,0.455,0.992,normal
864,1.278,0.702,normal
865,0.712,0.568,normal
866,0.99,1.517,normal
867,1.207,0.956,normal
868,0.675,0.661,normal
869,1.0,1.053,normal
870,0.972,1.192,normal
871,1.371,1.272,normal
872,0.901,0.836,normal
873,1.098,1.061,normal
874,1.199,1.062,normal
875,0.724,1.238,normal
876,1.346,0.577,normal
877,1.302,1.094,normal
878,0.495,0.792,normal
879,1.07,1.281,normal
880,0.605,0.743,normal
881,0.971,0.296,normal
882,1.225,1.108,normal
883,0.526,0.827,normal
884,0.783,0.779,normal
885,1.107,1.796,normal
886,1.408,1.201,normal
887,0.492,0.815,normal
888,1.321,0.863,normal
889,1.009,0.946,normal
890,1.0,1.141,normal
891,1.193,0.571,normal
892,0.957,0.897,normal
893,0.714,1.159,normal
894,1.417,0.907,normal
895,0.915,0.829,normal
896,1.123,1.367,normal
897,1.079,1.185,normal
898,0.501,1.329,normal
899,1.189,0.939,normal
900,0.761,1.04,normal
901,1.158,0.523,normal
902,0.558,1.471,normal
903,1.076,0.577,normal
904,0.732,1.042,normal
905,0.664,1.556,normal
906,1.444,0.642,normal
907,0.509,0.704,normal
908,1.3,1.285,normal
909,1.354,0.925,normal
910,1.08,1.267,normal
911,0.489,1.289,normal
912,0.922,1.217,normal
913,1.387,1.119,normal
914,1.029,0.993,normal
915,0.903,1.278,normal
916,0.889,1.426,normal
917,1.154,0.517,normal
918,1.119,0.984,normal
919,0.797,1.138,normal
920,0.897,1.277,normal
921,0.995,0.69,normal
922,1.223,1.175,normal
923,1.426,0.997,normal
924,0.78,0.745,normal
925,1.005,1.201,normal
926,0.63,1.044,normal
927,0.767,1.023,normal
928,1.084,0.299,normal
929,1.136,0.702,normal
930,1.146,0.71,normal
931,1.307,1.21,normal
932,0.898,0.571,normal
933,0.961,0.894,normal
934,1.232,0.7,normal
935,1.334,0.938,normal
936,0.829,1.164,normal
937,1.072,1.143,normal
938,1.162,1.12,normal
939,1.123,0.204,normal
940,1.365,0.754,normal
941,1.121,0.991,normal
942,1.5,0.441,normal
943,1.277,0.617,normal
944,1.261,1.549,normal
945,1.091,0.895,normal
946,1.214,0.693,normal
947,1.597,0.956,normal
948,0.55,0.765,normal
949,0.795,1.378,normal
950,1.176,1.228,normal
951,1.114,0.398,normal
952,0.429,0.728,normal
953,1.196,1.26,normal
954,1.162,0.768,normal
955,1.189,1.097,normal
956,0.962,0.767,normal
957,0.471,1.125,normal
958,0.588,1.171,normal
959,1.118,1.458,normal
960,1.106,1.119,normal
961,0.909,0.739,normal
962,0.565,1.137,normal
963,0.86,0.511,normal
964,1.474,0.84,normal
965,0.654,0.904,normal
966,1.72,0.802,normal
967,0.717,0.787,normal
968,1.043,0.824,normal
969,1.085,0.888,normal
970,1.111,1.361,normal
971,0.79,1.197,normal
972,1.265,1.601,normal
973,1.664,1.44,normal
974,1.162,1.46,normal
975,0.788,0.901,normal
976,1.299,0.859,normal
977,0.38,0.609,normal
978,1.166,1.558,normal
979,1.115,0.132,normal
980,1.155,1.0,normal
981,1.437,0.817,normal
982,1.596,1.326,normal
983,0.984,0.883,normal
984,0.906,0.914,normal
985,0.824,0.971,normal
986,0.796,0.912,normal
987,0.854,0.764,normal
988,1.041,1.104,normal
989,0.816,0.93,normal
990,1.044,0.913,normal
991,1.321,1.34,normal
992,0.939,0.869,normal
993,1.163,0.937,normal
994,1.021,1.316,normal
995,1.278,0.657,normal
996,0.485,0.419,normal
997,0.793,0.733,normal
998,1.226,0.621,normal
999,0.776,1.044,normal
1000,1.142,1.15,normal
1001,0.56,0.726,normal
1002,1.336,0.939,normal
1003,1.202,0.95,normal
1004,0.578,1.077,normal
1005,1.228,1.128,normal
1006,0.735,0.941,normal
1007,0.94,1.378,normal
1008,1.358,0.875,normal
1009,1.295,0.975,normal
1010,1.424,1.368,normal
1011,1.225,0.699,normal
1012,1.21,0.951,normal
1013,1.154,0.853,normal
1014,1.356,1.088,normal
1015,1.261,1.018,normal
1016,1.14,0.664,normal
1017,1.166,0.742,normal
1018,1.463,0.298,normal
1019,0.981,1.239,normal
1020,1.392,1.165,normal
1021,0.293,1.468,normal
1022,0.597,0.672,normal
1023,0.825,0.607,normal
1024,1.895,0.844,normal
1025,1.012,1.342,normal
1026,0.868,0.457,normal
1027,1.281,0.566,normal
1028,0.279,0.773,normal
1029,1.281,0.808,normal
1030,0.574,0.609,normal
1031,0.648,0.813,normal
1032,0.877,1.549,normal
1033,0.876,1.281,normal
1034,0.828,0.942,normal
1035,0.931,1.335,normal
1036,0.198,1.176,normal
1037,1.532,0.862,normal
1038,1.487,0.529,normal
1039,0.299,0.822,normal
1040,0.869,1.143,normal
1041,1.237,0.93,normal
1042,0.791,1.176,normal
1043,1.044,0.828,normal
1044,0.962,1.622,normal
1045,0.804,0.401,normal
1046,1.349,0.592,normal
1047,0.842,1.0,normal
1048,0.528,0.823,normal
1049,0.8,1.323,normal
1050,0.918,0.91,normal
1051,0.627,1.081,normal
1052,1.348,0.737,normal
1053,0.783,0.801,normal
1054,1.063,0.025,normal
1055,0.917,1.16,normal
1056,1.011,1.282,normal
1057,1.607,0.85,normal
1058,1.31,1.163,normal
1059,0.948,0.905,normal
1060,1.087,1.305,normal
1061,1.041,1.164,normal
1062,0.406,1.043,normal
1063,1.081,1.282,normal
1064,0.81,1.316,normal
1065,0.827,0.967,normal
1066,0.962,1.424,normal
1067,1.128,0.975,normal
1068,0.982,1.232,normal
1069,1.309,1.379,normal
1070,0.92,0.678,normal
